attage,sex,smoker,exposure,actual_dths,expected_dths,actual_mort,expected_mort
48,F,N,103.7392,0,0.21587,0,0.002080891
48,F,S,26.8865,0,0.11311,0,0.004206944
48,F,U,17.4801,0,0.04479,0,0.002562342
48,M,N,215.873,0,0.55194,0,0.002556781
48,M,S,26.2061,0,0.13158,0,0.005020968
48,M,U,53.2188,0,0.17141,0,0.003220854
48,U,N,8.6147,0,0.02274,0,0.002639674
49,F,N,381.3701,1,0.83859,0.002622125,0.002198888
49,F,S,74.0778,0,0.32816,0,0.004429937
49,F,U,149.2849,0,0.39097,0,0.002618952
49,M,N,484.1304,0,1.25975,0,0.002602088
49,M,S,112.7738,0,0.63479,0,0.005628878
49,M,U,112.0944,0,0.36456,0,0.003252259
49,U,N,7.4752,0,0.01579,0,0.002112318
49,U,S,3.5394,0,0.01985,0,0.005608295
49,U,U,3.6547,0,0.01131,0,0.003094645
50,F,N,793.7525,1,1.672,0.001259839,0.00210645
50,F,S,124.0918,1,0.55043,0.00805855,0.004435668
50,F,U,251.5114,0,0.68843,0,0.002737172
50,M,N,1179.5952,3,3.0894,0.002543245,0.002619034
50,M,S,228.5581,0,1.22061,0,0.00534048
50,M,U,450.781,1,1.4981,0.002218372,0.003323343
50,U,N,38.0602,1,0.09537,0.026274166,0.002505767
50,U,S,5.4219,0,0.02766,0,0.005101533
50,U,U,8.5035,0,0.02767,0,0.003253954
51,F,N,1364.221,2,3.06915,0.001466038,0.002249745
51,F,S,266.2321,0,1.21544,0,0.00456534
51,F,U,515.7955,1,1.47453,0.001938753,0.002858749
51,M,N,1932.4701,5,5.14704,0.002587362,0.002663451
51,M,S,400.6871,2,2.19851,0.004991426,0.00548685
51,M,U,766.2708,3,2.6445,0.003915065,0.00345113
51,U,N,62.8842,0,0.16354,0,0.002600653
51,U,S,15.619,0,0.0849,0,0.005435687
51,U,U,16.2945,0,0.05531,0,0.003394397
52,F,N,2177.4269,3,5.08903,0.001377773,0.002337176
52,F,S,361.996,1,1.74356,0.002762461,0.004816517
52,F,U,669.964,1,2.03921,0.001492618,0.003043761
52,M,N,3263.5497,14,9.22865,0.004289808,0.002827795
52,M,S,581.2036,2,3.39826,0.003441135,0.005846936
52,M,U,1205.9242,7,4.3672,0.005804677,0.003621455
52,U,N,74.0559,0,0.19918,0,0.00268959
52,U,S,12.4573,0,0.0562,0,0.004511411
52,U,U,18.6381,0,0.06581,0,0.003530939
53,F,N,2687.8776,6,6.67376,0.002232245,0.002482911
53,F,S,516.2964,1,2.73868,0.001936872,0.005304472
53,F,U,958.5569,3,3.06599,0.003129705,0.003198548
53,M,N,4055.5681,9,12.03707,0.002219171,0.002968035
